team_name,team_id,season,league,team_in_season,wins,losses,finish,average_age,average_height,average_weight,games,minutes,field_goals,field_goal_attempts,field_goal_percentage,three_points,three_point_attempts,three_point_percentage,two_points,two_point_attempts,two_point_percentage,free_throws,free_throw_attempts,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
ATL,ATL,2025-26,NBA,ATL,46,36,1,25.2,6-7,211,82,19755,3575,7541,.474,1201,3237,.371,2374,4304,.552,1363,1762,.774,900,2670,3570,2471,768,384,1162,1612,9714
ATL,ATL,2024-25,NBA,ATL,40,42,2,24.9,6-6,209,82,19780,3556,7528,.472,1107,3089,.358,2449,4439,.552,1472,1900,.775,974,2675,3649,2426,798,419,1273,1564,9691
ATL,ATL,2023-24,NBA,ATL,36,46,3,26.2,6-6,211,82,19855,3529,7584,.465,1125,3092,.364,2404,4492,.535,1520,1906,.797,1024,2639,3663,2180,615,369,1110,1522,9703
ATL,ATL,2022-23,NBA,ATL,41,41,2,24.9,6-6,210,82,19855,3658,7574,.483,882,2505,.352,2776,5069,.548,1513,1850,.818,920,2719,3639,2049,580,401,1060,1541,9711
ATL,ATL,2021-22,NBA,ATL,43,39,2,26.1,6-6,211,82,19705,3401,7241,.470,1056,2821,.374,2345,4420,.531,1485,1829,.812,823,2783,3606,2017,587,348,972,1534,9343
ATL,ATL,2020-21,NBA,ATL,41,31,1,25.4,6-6,212,72,17405,2937,6281,.468,895,2402,.373,2042,3879,.526,1417,1745,.812,760,2525,3285,1737,503,342,953,1392,8186
ATL,ATL,2019-20,NBA,ATL,20,47,5,24.1,6-6,213,67,16280,2723,6067,.449,805,2416,.333,1918,3651,.525,1237,1566,.790,661,2237,2898,1605,523,341,1086,1548,7488
BOS,BOS,2025-26,NBA,BOS,56,26,1,26.9,6-6,213,82,19730,3456,7398,.467,1268,3456,.367,2188,3942,.555,1238,1534,.807,1025,2777,3802,2021,585,410,1014,1562,9418
BOS,BOS,2024-25,NBA,BOS,61,21,1,28.9,6-7,216,82,19830,3413,7382,.462,1457,3955,.368,1956,3427,.571,1251,1565,.799,933,2783,3716,2144,589,452,973,1303,9534
BOS,BOS,2023-24,NBA,BOS,64,18,1,28.2,6-7,216,82,19830,3601,7396,.487,1351,3482,.388,2250,3914,.575,1334,1654,.807,876,2923,3799,2207,557,538,979,1326,9887
BOS,BOS,2022-23,NBA,BOS,57,25,1,27.4,6-6,222,82,19980,3460,7278,.475,1315,3492,.377,2145,3786,.567,1436,1769,.812,796,2921,3717,2186,521,430,1095,1542,9671
