team_id,season,lg_id,team_name,wins,losses,win_loss_pct,rank_team,srs,DUMMY,pace,pace_rel,off_rtg,off_rtg_rel,def_rtg,def_rtg_rel,rank_team_playoffs,coaches,top_ws
ATL,2025-26,NBA,Atlanta Hawks*,46,36,.561,1st of 5,2.38,,101.7,2.3,116.1,0.3,113.7,-2.1,Lost E. Conf. 1st Rnd.,Q. Snyder(46-36),J. Johnson(7.5)
ATL,2024-25,NBA,Atlanta Hawks,40,42,.488,2nd of 5,-1.41,,102.6,3.8,114.6,0.1,115.7,1.2,,Q. Snyder(40-42),O. Okongwu(7.2)
ATL,2023-24,NBA,Atlanta Hawks,36,46,.439,3rd of 5,-2.38,,100.1,1.6,117.2,1.9,119.4,4.1,,Q. Snyder(36-46),C. Capela(6.3)
ATL,2022-23,NBA,Atlanta Hawks*,41,41,.500,2nd of 5,0.32,,100.7,1.6,116.6,1.8,116.3,1.5,Lost E. Conf. 1st Rnd.,"N. McMillan(29-30),J. Prunty(2-0),Q. Snyder(10-11)",C. Capela(7.2)
ATL,2021-22,NBA,Atlanta Hawks*,43,39,.524,2nd of 5,1.55,,97.7,-0.5,116.5,4.5,114.9,2.9,Lost E. Conf. 1st Rnd.,N. McMillan(43-39),T. Young(10.0)
ATL,2020-21,NBA,Atlanta Hawks*,41,31,.569,1st of 5,2.14,,97.6,-1.6,115.7,3.4,113.3,1.0,Lost E. Conf. Finals,"L. Pierce(14-20),N. McMillan(27-11)",C. Capela(8.2)
ATL,2019-20,NBA,Atlanta Hawks,20,47,.299,5th of 5,-7.71,,103.0,2.7,107.2,-3.4,114.8,4.2,,L. Pierce(20-47),T. Young(5.9)
BOS,2025-26,NBA,Boston Celtics*,56,26,.683,1st of 5,7.37,,94.8,-4.6,120.8,5.0,112.7,-3.1,Lost E. Conf. 1st Rnd.,J. Mazzulla(56-26),N. Queta(9.0)
BOS,2024-25,NBA,Boston Celtics*,61,21,.744,1st of 5,8.28,,95.7,-3.1,120.6,6.1,111.1,-3.4,Lost E. Conf. Semis,J. Mazzulla(61-21),J. Tatum(9.5)
BOS,2023-24,NBA,Boston Celtics*,64,18,.780,1st of 5,10.75,,97.2,-1.3,123.2,7.9,111.6,-3.7,Won Finals,J. Mazzulla(64-18),J. Tatum(10.4)
BOS,2022-23,NBA,Boston Celtics*,57,25,.695,1st of 5,6.38,,98.5,-0.6,118.0,3.2,111.5,-3.3,Lost E. Conf. Finals,J. Mazzulla(57-25),J. Tatum(10.5)
BOS,2021-22,NBA,Boston Celtics*,51,31,.622,1st of 5,7.02,,96.6,-1.6,114.4,2.4,106.9,-5.1,Lost Finals,I. Udoka(51-31),R. Williams(9.9)
BOS,2020-21,NBA,Boston Celtics*,36,36,.500,4th of 5,1.32,,98.3,-0.9,114.0,1.7,112.5,0.2,Lost E. Conf. 1st Rnd.,B. Stevens(36-36),J. Tatum(6.5)
BOS,2019-20,NBA,Boston Celtics*,48,24,.667,2nd of 5,5.83,,99.5,-0.8,113.3,2.7,107.0,-3.6,Lost E. Conf. Finals,B. Stevens(48-24),J. Tatum(6.9)
NJN,2025-26,NBA,Brooklyn Nets,20,62,.244,5th of 5,-9.70,,97.1,-2.3,108.7,-7.1,119.0,3.2,,J. FernÃ¡ndez Torres(20-62),N. Claxton(4.8)
NJN,2024-25,NBA,Brooklyn Nets,26,56,.317,4th of 5,-6.95,,96.4,-2.4,108.5,-6.0,115.8,1.3,,J. FernÃ¡ndez Torres(26-56),C. Johnson(5.1)
NJN,2023-24,NBA,Brooklyn Nets,32,50,.390,4th of 5,-3.02,,96.9,-1.6,113.2,-2.1,116.1,0.8,,"J. Vaughn(21-33),K. Ollie(11-17)",N. Claxton(6.7)
NJN,2022-23,NBA,Brooklyn Nets*,45,37,.549,4th of 5,1.03,,98.3,-0.8,115.0,0.2,114.1,-0.7,Lost E. Conf. 1st Rnd.,"S. Nash(2-5),J. Vaughn(43-32)",N. Claxton(9.2)
NJN,2021-22,NBA,Brooklyn Nets*,44,38,.537,4th of 5,0.82,,99.0,0.8,113.6,1.6,112.8,0.8,Lost E. Conf. 1st Rnd.,S. Nash(44-38),K. Durant(8.4)
NJN,2020-21,NBA,Brooklyn Nets*,48,24,.667,2nd of 5,4.24,,99.5,0.3,118.3,6.0,113.8,1.5,Lost E. Conf. Semis,S. Nash(48-24),K. Irving(7.4)
NJN,2019-20,NBA,Brooklyn Nets*,35,37,.486,4th of 5,-1.01,,101.4,1.1,108.9,-1.7,109.5,-1.1,Lost E. Conf. 1st Rnd.,"K. Atkinson(28-34),J. Vaughn(7-3)",J. Allen(8.2)
CHA,2025-26,NBA,Charlotte Hornets,44,38,.537,3rd of 5,4.48,,96.8,-2.6,119.4,3.6,114.4,-1.4,,C. Lee(44-38),K. Knueppel(8.0)
CHA,2024-25,NBA,Charlotte Hornets,19,63,.232,4th of 5,-9.10,,97.6,-1.2,107.3,-7.2,116.6,2.1,,C. Lee(19-63),M. Williams(4.7)
CHA,2023-24,NBA,Charlotte Hornets,21,61,.256,4th of 5,-10.12,,97.3,-1.2,109.3,-6.0,119.8,4.5,,S. Clifford(21-61),N. Richards(5.1)
CHA,2022-23,NBA,Charlotte Hornets,27,55,.329,5th of 5,-5.89,,100.8,1.7,109.2,-5.6,115.3,0.5,,S. Clifford(27-55),M. Plumlee(6.1)
CHA,2021-22,NBA,Charlotte Hornets,43,39,.524,3rd of 5,0.53,,100.0,1.8,114.1,2.1,113.7,1.7,,J. Borrego(43-39),M. Bridges(7.2)
CHA,2020-21,NBA,Charlotte Hornets,33,39,.458,4th of 5,-1.94,,98.3,-0.9,110.9,-1.4,112.8,0.5,,J. Borrego(33-39),T. Rozier(5.2)
CHA,2019-20,NBA,Charlotte Hornets,23,42,.354,3rd of 5,-7.03,,95.8,-4.5,106.3,-4.3,113.3,2.7,,J. Borrego(23-42),C. Zeller(3.6)
CHI,2025-26,NBA,Chicago Bulls,31,51,.378,4th of 5,-5.09,,102.5,3.1,113.0,-2.8,118.1,2.3,,B. Donovan(31-51),T. Jones(5.7)
CHI,2024-25,NBA,Chicago Bulls,39,43,.476,5th of 5,-1.83,,102.8,4.0,114.1,-0.4,115.6,1.1,,B. Donovan(39-43),N. VuÄeviÄ(7.3)
CHI,2023-24,NBA,Chicago Bulls,39,43,.476,4th of 5,-1.77,,96.3,-2.2,114.9,-0.4,116.3,1.0,,B. Donovan(39-43),D. DeRozan(9.2)
CHI,2022-23,NBA,Chicago Bulls,40,42,.488,3rd of 5,1.37,,98.5,-0.6,113.5,-1.3,112.2,-2.6,,B. Donovan(40-42),D. DeRozan(8.5)
CHI,2021-22,NBA,Chicago Bulls*,46,36,.561,2nd of 5,-0.38,,98.3,0.1,113.2,1.2,113.6,1.6,Lost E. Conf. 1st Rnd.,B. Donovan(46-36),D. DeRozan(8.8)
CHI,2020-21,NBA,Chicago Bulls,31,41,.431,3rd of 5,-0.94,,99.0,-0.2,111.1,-1.2,112.0,-0.3,,B. Donovan(31-41),Z. LaVine(5.9)
CHI,2019-20,NBA,Chicago Bulls,22,43,.338,3rd of 5,-4.00,,99.7,-0.6,106.7,-3.9,109.8,-0.8,,J. Boylen(22-43),Z. LaVine(4.0)
CLE,2025-26,NBA,Cleveland Cavaliers*,52,30,.634,2nd of 5,3.78,,99.9,0.5,119.2,3.4,115.1,-0.7,Lost E. Conf. Finals,K. Atkinson(52-30),D. Mitchell(8.2)
CLE,2024-25,NBA,Cleveland Cavaliers*,64,18,.780,1st of 5,8.81,,99.8,1.0,121.7,7.2,112.2,-2.3,Lost E. Conf. Semis,K. Atkinson(64-18),J. Allen(11.6)
CLE,2023-24,NBA,Cleveland Cavaliers*,48,34,.585,2nd of 5,1.98,,97.2,-1.3,115.2,-0.1,112.7,-2.6,Lost E. Conf. Semis,J. Bickerstaff(48-34),J. Allen(10.7)
CLE,2022-23,NBA,Cleveland Cavaliers*,51,31,.622,2nd of 5,5.23,,95.7,-3.4,116.1,1.3,110.6,-4.2,Lost E. Conf. 1st Rnd.,J. Bickerstaff(51-31),J. Allen(9.5)
CLE,2021-22,NBA,Cleveland Cavaliers,44,38,.537,3rd of 5,2.04,,96.1,-2.1,111.9,-0.1,109.7,-2.3,,J. Bickerstaff(44-38),J. Allen(8.5)
CLE,2020-21,NBA,Cleveland Cavaliers,22,50,.306,4th of 5,-8.19,,97.3,-1.9,105.8,-6.5,114.4,2.1,,J. Bickerstaff(22-50),J. Allen(5.0)
CLE,2019-20,NBA,Cleveland Cavaliers,19,46,.292,5th of 5,-7.77,,98.7,-1.6,107.5,-3.1,115.4,4.8,,"J. Beilein(14-40),J. Bickerstaff(5-6)",L. Nance(3.9)
DAL,2025-26,NBA,Dallas Mavericks,26,56,.317,4th of 5,-5.33,,101.7,2.3,111.2,-4.6,116.5,0.7,,J. Kidd(26-56),N. Marshall(4.3)
DAL,2024-25,NBA,Dallas Mavericks,39,43,.476,3rd of 5,-0.74,,99.2,0.4,114.8,0.3,116.0,1.5,,J. Kidd(39-43),D. Gafford(5.9)
