team_name,league,from,to,years,games,wins,losses,win_percentage,playoffs,division_championships,conference_championships,championships
Atlanta Hawks,NBA,1949-50,2025-26,77,6102,3013,3088,.494,50,13,0,1
Boston Celtics,NBA/BAA,1946-47,2025-26,80,6278,3751,2527,.597,63,36,11,18
Brooklyn Nets,NBA/ABA,1967-68,2025-26,59,4776,2074,2702,.434,31,5,2,2
Charlotte Hornets,NBA,1988-89,2025-26,36,2877,1237,1640,.430,10,0,0,0
Chicago Bulls,NBA,1966-67,2025-26,60,4844,2453,2391,.506,36,9,6,6
Cleveland Cavaliers,NBA,1970-71,2025-26,56,4517,2148,2369,.476,26,8,5,1
Dallas Mavericks,NBA,1980-81,2025-26,46,3707,1862,1845,.502,25,5,3,1
Denver Nuggets,NBA/ABA,1967-68,2025-26,59,4777,2471,2306,.517,41,13,1,1
Detroit Pistons,NBA/BAA,1948-49,2025-26,78,6162,2931,3231,.476,44,12,5,3
Golden State Warriors,NBA/BAA,1946-47,2025-26,80,6268,3054,3213,.487,38,12,7,7
Houston Rockets,NBA,1967-68,2025-26,59,4770,2473,2297,.518,36,9,4,2
Indiana Pacers,NBA/ABA,1967-68,2025-26,59,4776,2426,2350,.508,38,9,2,3
Los Angeles Clippers,NBA,1970-71,2025-26,56,4524,1935,2589,.428,19,3,0,0
Los Angeles Lakers,NBA/BAA,1948-49,2025-26,78,6168,3653,2515,.592,66,35,19,17
Memphis Grizzlies,NBA,1995-96,2025-26,31,2475,1071,1404,.433,14,2,0,0
Miami Heat,NBA,1988-89,2025-26,38,3049,1601,1448,.525,26,16,7,3
Milwaukee Bucks,NBA,1968-69,2025-26,58,4689,2469,2220,.527,37,19,3,2
Minnesota Timberwolves,NBA,1989-90,2025-26,37,2958,1245,1713,.421,14,1,0,0
New Orleans Pelicans,NBA,2002-03,2025-26,24,1932,878,1054,.454,9,1,0,0
New York Knicks,NBA/BAA,1946-47,2025-26,80,6269,3078,3191,.491,47,8,5,3
Oklahoma City Thunder,NBA,1967-68,2025-26,59,4770,2602,2168,.545,35,14,5,2
Orlando Magic,NBA,1989-90,2025-26,37,2967,1401,1566,.472,19,8,2,0
Philadelphia 76ers,NBA,1949-50,2025-26,77,6105,3170,2935,.519,55,12,5,3
Phoenix Suns,NBA,1968-69,2025-26,58,4689,2510,2179,.535,34,8,3,0
Portland Trail Blazers,NBA,1970-71,2025-26,56,4526,2370,2156,.524,38,6,3,1
Sacramento Kings,NBA/BAA,1948-49,2025-26,78,6169,2810,3359,.456,30,6,0,1
San Antonio Spurs,NBA/ABA,1967-68,2025-26,59,4775,2779,1996,.582,48,23,7,5
Toronto Raptors,NBA,1995-96,2025-26,31,2474,1172,1302,.474,14,7,1,1
Utah Jazz,NBA,1974-75,2025-26,52,4196,2216,1980,.528,31,11,2,0
Washington Wizards,NBA,1961-62,2025-26,65,5251,2307,2944,.439,30,8,4,1
