player_id,name,position,shoots,height_cm,weight_kg,college,draft_year,nba_debut,experience_years,is_active,birth_date,birth_place
hardeja01,James Harden,Point Guard and Shooting Guard,Left,196,99,Arizona State,2009.0,"October 28, 2009",17,True,1989-08-26,California
lillada01,Damian Lillard,Point Guard,Right,188,90,Weber State,2012.0,"October 31, 2012",13,True,1990-07-15,California
bookede01,Devin Booker,Shooting Guard and Point Guard,Right,196,93,Kentucky,2015.0,"October 28, 2015",11,True,1996-10-30,Michigan
antetgi01,Giannis Antetokounmpo,"Power Forward, Small Forward, Point Guard, and Shooting Guard",Right,211,110,,2013.0,"October 30, 2013",13,True,1994-12-06,Greece
youngtr01,Trae Young,Point Guard,Right,188,74,Oklahoma,2018.0,"October 17, 2018",8,True,1998-09-19,Texas
doncilu01,Luka DonÄiÄ,Point Guard and Shooting Guard,Right,203,104,,2018.0,"October 17, 2018",8,True,1999-02-28,Slovenia
bealbr01,Bradley Beal,Shooting Guard,Right,193,93,Florida,2012.0,"October 30, 2012",14,True,1993-06-28,Missouri
jamesle01,LeBron James,"Small Forward, Power Forward, Point Guard, Center, and Shooting Guard",Right,206,113,,2003.0,"October 29, 2003",23,True,1984-12-30,Ohio
mitchdo01,Donovan Mitchell,Shooting Guard and Point Guard,Right,188,97,Louisville,2017.0,"October 18, 2017",9,True,1996-09-07,New York
davisan02,Anthony Davis,Power Forward and Center,Right,208,114,Kentucky,2012.0,"October 31, 2012",14,True,1993-03-11,Illinois
mccolcj01,CJ McCollum,Shooting Guard and Point Guard,Right,190,86,Lehigh,2013.0,"January 8, 2014",13,True,1991-09-19,Ohio
westbru01,Russell Westbrook,Point Guard and Small Forward,Right,193,90,UCLA,2008.0,"October 29, 2008",18,True,1988-11-12,California
tatumja01,Jayson Tatum,Small Forward and Power Forward,Right,203,95,Duke,2017.0,"October 17, 2017",9,True,1998-03-03,Missouri
leonaka01,Kawhi Leonard,Small Forward,Right,198,102,San Diego State,2011.0,"December 26, 2011",14,True,1991-06-29,California
lavinza01,Zach LaVine,"Shooting Guard, Small Forward, and Point Guard",Right,196,90,UCLA,2014.0,"October 30, 2014",12,True,1995-03-10,Washington
derozde01,DeMar DeRozan,"Shooting Guard, Small Forward, and Power Forward",Right,198,99,USC,2009.0,"October 28, 2009",17,True,1989-08-07,California
ingrabr01,Brandon Ingram,Small Forward and Power Forward,Right,203,86,Duke,2016.0,"October 26, 2016",10,True,1997-09-02,North Carolina
jokicni01,Nikola JokiÄ,Center,Right,211,128,,2014.0,"October 28, 2015",11,True,1995-02-19,Serbia
