player_id,season_id,rank,first_place_votes,points_won,points_max,share,win_shares,win_shares_per_48
1022,1,1,85,962,1010,0.952,11.1,0.279
1512,1,2,16,753,1010,0.746,9.8,0.204
1415,1,3,0,367,1010,0.363,13.1,0.254
1271,1,4,0,200,1010,0.198,8.8,0.207
1615,1,5,0,168,1010,0.166,8.7,0.226
1244,1,6,0,82,1010,0.081,11.1,0.25
1821,1,7,0,26,1010,0.026,8.9,0.193
1623,1,8,0,23,1010,0.023,11.6,0.225
1539,1,9,0,18,1010,0.018,9.8,0.202
1962,1,10,0,17,1010,0.017,5.4,0.123
1151,1,11,0,9,1010,0.009,9.0,0.221
2014,1,12,0,1,1010,0.001,6.9,0.146
1539,2,1,91,971,1010,0.961,15.6,0.301
1305,2,2,1,586,1010,0.58,8.8,0.266
1238,2,3,5,453,1010,0.449,9.0,0.201
1022,2,4,1,348,1010,0.345,10.2,0.244
1821,2,5,2,139,1010,0.138,9.2,0.201
1271,2,6,0,42,1010,0.042,7.7,0.163
1623,2,7,0,38,1010,0.038,10.4,0.209
1876,2,8,0,20,1010,0.02,7.8,0.14
1913,2,9,1,10,1010,0.01,3.1,0.118
1372,2,10,0,8,1010,0.008,11.3,0.248
2111,2,11,0,5,1010,0.005,3.7,0.075
1964,2,12,0,3,1010,0.003,6.0,0.153
1415,2,13,0,1,1010,0.001,7.0,0.208
1512,2,13,0,1,1010,0.001,5.6,0.179
1615,2,13,0,1,1010,0.001,8.8,0.238
1539,3,1,65,875,1000,0.875,15.2,0.296
1305,3,2,26,706,1000,0.706,12.0,0.252
1022,3,3,9,595,1000,0.595,12.9,0.281
1101,3,4,0,216,1000,0.216,7.6,0.156
1271,3,5,0,146,1000,0.146,7.6,0.159
2014,3,6,0,43,1000,0.043,9.6,0.169
1739,3,7,0,10,1000,0.01,6.7,0.171
1238,3,8,0,4,1000,0.004,8.0,0.173
1821,3,9,0,2,1000,0.002,9.4,0.21
1258,3,10,0,1,1000,0.001,8.8,0.154
1289,3,10,0,1,1000,0.001,8.4,0.198
1512,3,10,0,1,1000,0.001,7.5,0.172
1305,4,1,73,915,1000,0.915,12.3,0.259
1539,4,2,15,674,1000,0.674,14.9,0.308
1022,4,3,12,606,1000,0.606,8.6,0.204
2014,4,4,0,280,1000,0.28,10.5,0.185
1367,4,5,0,46,1000,0.046,11.4,0.226
1723,4,6,0,30,1000,0.03,8.9,0.176
1922,4,7,0,27,1000,0.027,12.6,0.221
1271,4,8,0,10,1000,0.01,10.2,0.204
1238,4,9,0,5,1000,0.005,7.8,0.192
1151,4,10,0,3,1000,0.003,12.3,0.277
1336,4,11,0,2,1000,0.002,7.4,0.146
1139,4,12,0,1,1000,0.001,8.7,0.175
1739,4,12,0,1,1000,0.001,6.0,0.148
1539,5,1,79,926,990,0.935,17.0,0.299
1367,5,2,15,640,990,0.646,14.6,0.275
1271,5,3,4,566,990,0.572,12.0,0.22
1022,5,4,1,192,990,0.194,13.2,0.246
1139,5,5,0,142,990,0.143,11.2,0.198
2014,5,6,0,86,990,0.087,10.4,0.189
1295,5,7,0,18,990,0.018,7.5,0.13
1922,5,8,0,3,990,0.003,12.6,0.206
1289,5,9,0,1,990,0.001,8.3,0.142
1367,6,1,71,913,1000,0.913,16.7,0.309
1539,6,2,29,787,1000,0.787,16.4,0.307
1022,6,3,0,470,1000,0.47,11.5,0.241
2014,6,4,0,311,1000,0.311,9.5,0.174
1723,6,5,0,74,1000,0.074,7.6,0.163
1512,6,6,0,16,1000,0.016,7.7,0.152
1236,6,7,0,12,1000,0.012,5.9,0.115
1295,6,7,0,12,1000,0.012,8.4,0.14
1238,6,9,0,2,1000,0.002,7.9,0.168
1139,6,10,0,1,1000,0.001,8.3,0.172
1415,6,10,0,1,1000,0.001,8.3,0.143
1725,6,10,0,1,1000,0.001,9.0,0.2
1367,7,1,83,939,1000,0.939,15.2,0.323
1539,7,2,10,634,1000,0.634,14.9,0.316
2109,7,3,5,569,1000,0.569,10.0,0.257
1271,7,4,0,250,1000,0.25,9.5,0.199
1236,7,5,2,117,1000,0.117,7.9,0.174
1133,7,6,0,89,1000,0.089,6.9,0.135
1615,7,7,0,1,1000,0.001,9.2,0.212
1723,7,7,0,1,1000,0.001,8.2,0.169
